,Country,TotalCovid,TotalPop,%Covid/Pop,Lat,Long
0,San Marino,569,33203.0,1.7137005692256724,43.9424,12.4578
1,Andorra,745,77281.0,0.9640144408069253,42.5063,1.5218
2,Luxembourg,3784,582972.0,0.6490877778006491,49.8153,6.1296
3,Iceland,1797,334252.0,0.5376183238993334,64.9631,-19.0208
4,Qatar,13409,2569804.0,0.5217907669223022,25.3548,51.1839
5,Spain,213435,46443959.0,0.45955384638936575,40.0,-4.0
6,Ireland,20612,4773095.0,0.4318372041620794,53.1424,-7.6921
7,Belgium,48519,11348159.0,0.42754952587463746,50.8333,4.0
8,Switzerland,29586,8372098.0,0.3533881232637267,46.8182,8.2275
9,Italy,205463,60600590.0,0.3390445538566539,43.0,12.0
10,US,1069424,323127513.0,0.3309603661016634,37.0902,-95.7129
11,Singapore,16169,5607283.0,0.2883571241187577,1.2833,103.8333
12,United Kingdom,172481,65637239.0,0.2627791824089371,32.3078,-64.7505
13,France,167299,66896109.0,0.25008778911191976,3.9339,-53.1258
14,Monaco,95,38499.0,0.2467596560949635,43.7333,7.4167
15,Portugal,25045,10324611.0,0.24257572512901454,39.3999,-8.2245
16,Netherlands,39512,17018408.0,0.23217212796872658,12.5186,-70.0358
17,Liechtenstein,82,37666.0,0.21770296819412735,47.14,9.55
18,Bahrain,3040,1425171.0,0.21330773640496473,26.0275,50.55
19,Sweden,21092,9903122.0,0.21298334000126426,63.0,16.0
20,Germany,163009,82667685.0,0.1971858774078408,51.0,9.0
21,Israel,15946,8547100.0,0.18656620374161997,31.0,35.0
22,Austria,15452,8747358.0,0.17664762320234292,47.5162,14.5501
23,Denmark,9356,5731118.0,0.16324912521431245,61.8926,-6.9118
24,Panama,6532,4034119.0,0.161918872497316,8.538,-80.7821
25,Ecuador,24934,16385068.0,0.1521751389740952,-1.8312,-78.1834
26,Turkey,120204,79512426.0,0.151176370847998,38.9637,35.2433
27,Canada,54457,36286425.0,0.15007540698759936,53.9333,-116.5765
28,Norway,7738,5232929.0,0.14787129731742968,60.472,8.4689
29,Belarus,14027,9507120.0,0.14754205269313947,53.7098,27.9534
30,United Arab Emirates,12481,9269612.0,0.13464425479728817,24.0,54.0
31,Estonia,1689,1316481.0,0.1282965724533814,58.5953,25.0136
32,Serbia,9009,7057412.0,0.12765302635016915,44.0165,21.0059
33,Peru,36976,31773839.0,0.11637246604037994,-9.19,-75.0152
34,Djibouti,1089,942333.0,0.11556424321338635,11.8251,42.5903
35,Maldives,468,417492.0,0.11209795636802622,3.2028,73.2207
36,Moldova,3897,3552000.0,0.10971283783783783,47.4116,28.3699
37,Malta,465,436947.0,0.10642022945574635,35.9375,14.3754
38,Kuwait,4024,4052584.0,0.0992946722387494,29.5,47.75
39,Finland,4995,5495096.0,0.0908992308778591,64.0,26.0
40,Chile,16023,17909754.0,0.08946521543511989,-35.6751,-71.543
41,Cyprus,850,1170125.0,0.07264181177224655,35.1264,33.4299
42,Armenia,2066,2924816.0,0.0706369221174939,40.0691,45.0382
43,Saudi Arabia,22753,32275687.0,0.07049578836230504,24.0,45.0
44,Slovenia,1429,2064845.0,0.06920616317447557,46.1512,14.9955
45,Dominican Republic,6972,10648791.0,0.06547222121271795,18.7357,-70.1627
46,Romania,12240,19705301.0,0.06211526532885745,45.9432,24.9668
47,Oman,2348,4424762.0,0.05306500101022383,21.0,57.0
48,Montenegro,322,622781.0,0.051703568349066524,42.5,19.3
49,Bosnia and Herzegovina,1757,3516816.0,0.04995996378542409,43.9159,17.6791
50,Croatia,2076,4170600.0,0.04977701050208603,45.1,15.2
51,Lithuania,1385,2872298.0,0.04821923073441544,55.1694,23.8813
52,Kosovo,806,1816200.0,0.04437837242594428,42.602636,20.902977
53,Latvia,858,1960424.0,0.043766042447960236,56.8796,24.6032
54,Brazil,87187,207652865.0,0.04198689962693267,-14.235,-51.9253
55,Poland,12877,37948016.0,0.03393326280878558,51.9194,19.1451
56,New Zealand,1479,4692700.0,0.03151703710017687,-40.9006,174.886
57,Barbados,81,284996.0,0.028421451529144267,13.1939,-59.5432
58,Hungary,2775,9817958.0,0.02826453321556275,47.1625,19.5033
59,Australia,6766,24127159.0,0.028043086216657336,-35.4735,149.0124
60,Albania,773,2876101.0,0.026876663928005307,41.1533,20.1683
61,Mauritius,332,1263473.0,0.02627677837199529,-20.2,57.5
62,Equatorial Guinea,315,1221490.0,0.025788176734971226,1.5,10.0
63,Greece,2591,10746740.0,0.0241096369689785,39.0742,21.8243
64,Antigua and Barbuda,24,100963.0,0.023771084456682152,17.0608,-61.7964
65,Ukraine,10406,45004645.0,0.023122057734262763,48.3794,31.1656
66,Cabo Verde,121,539560.0,0.02242568018385351,16.5388,-23.0418
67,Dominica,16,73543.0,0.021755979494989326,15.415,-61.371
68,Bulgaria,1506,7127822.0,0.02112847374695945,42.7339,25.4858
69,Malaysia,6002,31187265.0,0.01924503479224613,2.5,112.5
70,Kazakhstan,3402,17797032.0,0.019115546906922458,48.0196,66.9237
71,Uruguay,643,3444006.0,0.018670118460885374,-32.5228,-55.7658
72,Grenada,20,107317.0,0.01863637634298387,12.1165,-61.679
73,Azerbaijan,1804,9762274.0,0.018479301031706342,40.1431,47.5769
74,Mexico,19224,127540423.0,0.015072868309367297,23.6345,-102.5528
75,Costa Rica,719,4857274.0,0.014802541507849876,9.7489,-83.7534
76,Jamaica,422,2881355.0,0.014645887091316413,18.1096,-77.2975
77,Georgia,539,3719300.0,0.01449197429623854,42.3154,43.3569
78,Gabon,276,1979786.0,0.013940900683205153,-0.8037,11.6094
79,Colombia,6507,48653419.0,0.013374188564219916,4.5709,-74.2973
80,Cuba,1501,11475982.0,0.013079490713735872,22.0,-80.0
81,Morocco,4423,35276786.0,0.012537990280633843,31.7917,-7.0926
82,Lebanon,725,6006668.0,0.012069919629318618,33.8547,35.8623
83,Guinea,1495,12395924.0,0.0120604159883523,9.9456,-9.6966
84,Seychelles,11,94677.0,0.011618450098756826,-4.6796,55.492
85,Guinea-Bissau,205,1815698.0,0.01129042384801878,11.8037,-15.1804
86,Japan,14088,126994511.0,0.011093392847506614,36.0,138.0
87,Guyana,82,773303.0,0.010603864203294181,5.0,-58.75
88,Bolivia,1110,10887882.0,0.010194820259808106,-16.2902,-63.5887
89,South Africa,5647,55908865.0,0.010100366015300078,-30.5595,22.9375
90,Argentina,4428,43847430.0,0.010098653444455012,-38.4161,-63.6167
91,Algeria,4006,40606052.0,0.009865524478961905,28.0339,1.6596
92,Tunisia,994,11403248.0,0.00871681471805226,34.0,9.0
93,Pakistan,16817,193203476.0,0.00870429474053562,30.3753,69.3451
94,Trinidad and Tobago,116,1364962.0,0.00849840508380453,10.6918,-61.2225
95,Honduras,771,9112867.0,0.008460564606067443,15.2,-86.2419
96,Philippines,8488,103320222.0,0.008215235929322722,13.0,122.0
97,Cameroon,1832,23439189.0,0.007815970083265253,3.848,11.5021
98,West Bank and Gaza,344,4551566.0,0.007557838335201555,31.9522,35.2332
99,Ghana,2074,28206728.0,0.007352855673298938,7.9465,-1.0232
100,Sao Tome and Principe,14,199910.0,0.007003151418138161,0.18636,6.613081
101,Uzbekistan,2039,31848200.0,0.006402245652815544,41.3775,64.5853
102,Afghanistan,2171,34656032.0,0.00626442173183589,33.0,65.0
103,El Salvador,395,6344722.0,0.006225647081148709,13.7942,-88.8965
104,China,83956,1378665000.0,0.0060896591992978715,31.8257,117.2264
105,Senegal,933,15411614.0,0.006053875992482033,14.4974,-14.4524
106,Iraq,2085,37202572.0,0.005604451219125388,33.0,44.0
107,Cote d'Ivoire,1275,23695919.0,0.005380673355610306,7.54,-5.5471
108,Belize,18,366954.0,0.004905246979185402,13.1939,-59.5432
109,Jordan,453,9455802.0,0.004790709450134426,31.24,36.51
110,Bangladesh,7667,162951560.0,0.004705079227225563,23.685,90.3563
111,Thailand,2954,68863514.0,0.004289644585955925,15.0,101.0
112,Somalia,601,14317996.0,0.0041975147918745055,5.1521,46.1996
113,Paraguay,266,6725308.0,0.003955209188932314,-23.4425,-58.4438
114,Indonesia,10118,261115456.0,0.003874914244831221,-0.7893,113.9213
115,Guatemala,599,16582469.0,0.003612248574081459,15.7835,-90.2308
116,Niger,719,20672987.0,0.003477968616726746,17.6078,8.0817
117,Burkina Faso,645,18646433.0,0.00345910662913384,12.2383,-1.5616
118,Sri Lanka,663,21203000.0,0.003126916002452483,7.0,81.0
119,Liberia,141,4613823.0,0.0030560340091069812,6.4281,-9.4295
120,Mali,490,17994837.0,0.002723003270326928,17.570692,-3.996166000000001
121,India,34863,1324171354.0,0.0026328163567870084,21.0,78.0
122,Rwanda,243,11917508.0,0.002039016881717218,-1.9403,29.8739
123,Fiji,18,898760.0,0.002002759357336775,-17.7134,178.065
124,Timor-Leste,24,1268671.0,0.0018917434070771695,-8.874217,125.727539
125,Suriname,10,558368.0,0.0017909335778554644,3.9193,-56.0278
126,Sierra Leone,124,7396190.0,0.001676538866632685,8.460555000000001,-11.779889
127,Togo,116,7606374.0,0.0015250367652182234,8.6195,0.8248
128,Mongolia,38,3027398.0,0.0012552033132082403,46.8625,103.8467
129,Sudan,442,39578828.0,0.0011167586872456153,12.8628,30.2176
130,Central African Republic,50,4594621.0,0.0010882290400013406,6.6111,20.9394
131,Nigeria,1932,185989640.0,0.0010387675356541364,9.082,8.6753
132,Botswana,23,2250260.0,0.0010221041124136767,-22.3285,24.6849
133,Libya,61,6293253.0,0.0009692920338654746,26.3351,17.228331
134,Bhutan,7,797765.0,0.0008774513797922947,27.5142,90.4336
135,Tanzania,480,55572201.0,0.0008637412075868652,-6.369,34.8888
136,Kenya,396,48461567.0,0.0008171423759367912,-0.0236,37.9062
137,Cambodia,122,15762370.0,0.0007739952811664743,11.55,104.9167
138,Haiti,81,10847334.0,0.0007467272603572454,18.9712,-72.2852
139,Namibia,16,2479713.0,0.0006452359607744928,-22.9576,18.4904
140,Zambia,106,16591390.0,0.0006388855906587695,-15.4167,28.2833
141,Benin,64,10872298.0,0.0005886520034678962,9.3077,2.3158
142,Madagascar,128,24894551.0,0.0005141687431920342,-18.7669,46.8691
143,Chad,73,14452543.0,0.0005051014205596897,15.4542,18.7322
144,Vietnam,270,92701100.0,0.0002912586797783414,16.0,108.0
145,South Sudan,35,12230730.0,0.0002861644398985179,6.877000000000002,31.307
146,Mozambique,76,28829476.0,0.00026361908208113116,-18.665695,35.529562
147,Zimbabwe,40,16150362.0,0.00024767246703200833,-20.0,30.0
148,Nicaragua,14,6149928.0,0.00022764494153427485,12.8654,-85.2072
149,Malawi,37,18091575.0,0.00020451508506031123,-13.254307999999998,34.301525
150,Uganda,83,41487965.0,0.00020005801682487922,1.0,32.0
151,Nepal,57,28982771.0,0.000196668565610928,28.1667,84.25
152,Mauritania,8,4301018.0,0.00018600247662297625,21.0079,10.9408
153,Tajikistan,15,8734951.0,0.00017172391694011792,38.861034000000004,71.276093
154,Ethiopia,131,102403196.0,0.00012792569481913436,9.145,40.4897
155,Comoros,1,795601.0,0.00012569114417905456,-11.6455,43.3333
156,Burundi,11,10524117.0,0.00010452183304309521,-3.3731,29.9189
157,Papua New Guinea,8,8084991.0,9.894878052430731e-05,-6.315,143.9555
158,Angola,27,28813463.0,9.370619560724096e-05,-11.2027,17.8739
